Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
7/29/2019,190,Ozone,Santa Clarita,06-037-6012,AQS,5,190,3,33,67,31
7/30/2019,174,Ozone,Santa Clarita,06-037-6012,AQS,5,174,1,40,71,33
7/31/2019,151,Ozone,Santa Clarita,06-037-6012,AQS,6,151,0,44,72,28
8/1/2019,126,Ozone,Santa Clarita,06-037-6012,AQS,6,126,3,46,62,34
8/2/2019,166,Ozone,Santa Clarita,06-037-6012,AQS,7,166,3,30,57,43
8/3/2019,156,Ozone,Glendora,06-037-0016,AQS,7,156,4,30,59,39
8/4/2019,169,Ozone,Glendora,06-037-0016,AQS,6,169,4,26,60,26
8/5/2019,154,Ozone,Santa Clarita,06-037-6012,AQS,7,154,4,31,59,42
8/6/2019,147,Ozone,Reseda,06-037-1201,AQS,6,147,1,39,59,42
8/7/2019,156,Ozone,Santa Clarita,06-037-6012,AQS,5,156,3,39,64,28
8/8/2019,122,Ozone,Glendora,06-037-0016,AQS,6,122,4,35,63,35
8/9/2019,87,Ozone,Glendora,06-037-0016,AQS,8,87,1,31,61,32
8/10/2019,93,Ozone,Glendora,06-037-0016,AQS,8,93,1,26,56,33
8/11/2019,74,Ozone,Glendora,06-037-0016,AQS,6,74,1,20,49,20
8/12/2019,119,Ozone,Santa Clarita,06-037-6012,AQS,5,119,1,29,59,29
8/13/2019,140,Ozone,Glendora,06-037-0016,AQS,6,140,6,44,67,44
8/14/2019,174,Ozone,Glendora,06-037-0016,AQS,9,174,7,34,62,51
8/15/2019,159,Ozone,Santa Clarita,06-037-6012,AQS,8,159,4,32,61,49
8/16/2019,105,Ozone,Lancaster-Division Street,06-037-9033,AQS,6,105,1,31,61,28
8/17/2019,90,Ozone,Glendora,06-037-0016,AQS,5,90,1,21,56,16
8/18/2019,67,Ozone,Azusa,06-037-0002,AQS,5,67,1,19,53,17
8/19/2019,80,Ozone,Azusa,06-037-0002,AQS,6,80,3,30,59,29
8/20/2019,133,Ozone,Glendora,06-037-0016,AQS,8,133,3,25,54,34
8/21/2019,197,Ozone,Santa Clarita,06-037-6012,AQS,8,197,7,35,55,53
8/22/2019,151,Ozone,Santa Clarita,06-037-6012,AQS,7,151,1,37,60,48
8/23/2019,119,Ozone,Santa Clarita,06-037-6012,AQS,5,119,10,31,61,25
8/24/2019,129,Ozone,Glendora,06-037-0016,AQS,7,129,7,25,60,30
8/25/2019,101,Ozone,Azusa,06-037-0002,AQS,6,101,9,22,55,28
8/26/2019,156,Ozone,Santa Clarita,06-037-6012,AQS,9,156,4,31,52,39
8/27/2019,122,Ozone,Santa Clarita,06-037-6012,AQS,7,122,1,31,54,32
8/28/2019,90,Ozone,Santa Clarita,06-037-6012,AQS,5,90,1,32,58,23
8/29/2019,126,Ozone,Azusa,06-037-0002,AirNow,7,126,6,32,60,32
8/30/2019,112,Ozone,Glendora,06-037-0016,AQS,8,112,3,30,58,42
8/31/2019,140,Ozone,Glendora,06-037-0016,AQS,8,140,3,32,64,28
9/1/2019,190,Ozone,Glendora,06-037-0016,AQS,7,190,1,33,68,31
9/2/2019,97,Ozone,Santa Clarita,06-037-6012,AQS,6,97,1,55,56,24
9/3/2019,77,Ozone,Glendora,06-037-0016,AQS,7,77,10,36,66,39
9/4/2019,108,Ozone,Santa Clarita,06-037-6012,AQS,9,108,4,33,57,42
9/5/2019,87,Ozone,Santa Clarita,06-037-6012,AQS,9,87,6,31,56,51
9/6/2019,67,Ozone,Reseda,06-037-1201,AQS,8,67,1,44,53,41
9/7/2019,105,Ozone,Glendora,06-037-0016,AQS,8,105,3,63,54,30
9/8/2019,67,Ozone,Glendora,06-037-0016,AQS,5,67,1,61,47,23
9/9/2019,97,Ozone,Santa Clarita,06-037-6012,AQS,7,97,0,32,54,30
9/10/2019,53,PM2.5,Glendora,06-037-0016,AQS,5,50,0,32,53,33
9/11/2019,105,Ozone,Santa Clarita,06-037-6012,AQS,5,105,0,31,59,32
9/12/2019,115,Ozone,Pasadena,06-037-2005,AQS,9,115,3,46,63,44
9/13/2019,147,Ozone,Pasadena,06-037-2005,AQS,9,147,1,31,60,55
9/14/2019,185,Ozone,Glendora,06-037-0016,AQS,9,185,3,28,61,44
9/15/2019,133,Ozone,Glendora,06-037-0016,AQS,10,133,1,25,68,40
9/16/2019,61,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,7,58,1,50,61,39
9/17/2019,80,Ozone,Santa Clarita,06-037-6012,AQS,6,80,1,22,59,37
9/18/2019,80,Ozone,Lancaster-Division Street,06-037-9033,AQS,7,80,3,31,45,36
9/19/2019,46,PM2.5,Glendora,06-037-0016,AQS,5,45,1,25,46,28
9/20/2019,54,Ozone,Reseda,06-037-1201,AQS,7,54,3,31,51,26
9/21/2019,126,Ozone,Glendora,06-037-0016,AQS,8,126,1,28,52,31
9/22/2019,100,Ozone,Pasadena,06-037-2005,AQS,9,100,3,19,54,35
9/23/2019,77,Ozone,Santa Clarita,06-037-6012,AQS,8,77,1,30,56,37
9/24/2019,108,Ozone,Pasadena,06-037-2005,AQS,9,108,7,44,58,48
9/25/2019,129,Ozone,Santa Clarita,06-037-6012,AQS,8,129,1,34,56,37
9/26/2019,54,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,5,47,1,31,54,27
9/27/2019,42,PM2.5,Glendora,06-037-0016,AQS,5,41,3,27,42,36
9/28/2019,33,Ozone,Lancaster-Division Street,06-037-9033,AQS,5,33,1,22,32,19
9/29/2019,46,Ozone,Reseda,06-037-1201,AQS,5,46,0,19,38,27
9/30/2019,48,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,10,44,3,28,48,39
10/1/2019,52,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,8,51,1,23,48,52
10/2/2019,87,Ozone,Pasadena,06-037-2005,AQS,13,87,6,31,64,58
10/3/2019,105,Ozone,Reseda,06-037-1201,AQS,14,105,1,34,68,48
10/4/2019,100,Ozone,Santa Clarita,06-037-6012,AQS,11,100,1,33,60,46
10/5/2019,164,Ozone,Glendora,06-037-0016,AQS,14,164,11,33,60,50
10/6/2019,192,Ozone,Glendora,06-037-0016,AQS,18,192,6,36,68,38
10/7/2019,133,Ozone,Glendora,06-037-0016,AQS,16,133,6,28,88,72
10/8/2019,87,Ozone,Lancaster-Division Street,06-037-9033,AQS,13,87,7,33,65,58
10/9/2019,74,Ozone,Lancaster-Division Street,06-037-9033,AQS,6,74,1,64,67,28
10/10/2019,69,PM10,Lancaster-Division Street,06-037-9033,AQS,7,67,1,69,68,52
10/11/2019,185,PM2.5,Reseda,06-037-1201,AQS,19,61,1,19,185,63
10/12/2019,101,Ozone,Reseda,06-037-1201,AQS,17,101,4,40,95,47
10/13/2019,115,Ozone,Santa Clarita,06-037-6012,AQS,17,115,3,35,68,42
10/14/2019,87,Ozone,Santa Clarita,06-037-6012,AQS,9,87,1,39,67,44
10/15/2019,71,Ozone,Reseda,06-037-1201,AQS,10,71,6,45,66,71
10/16/2019,89,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,18,50,6,28,72,89
10/17/2019,80,PM10,Lancaster-Division Street,06-037-9033,AQS,8,77,1,80,61,42
10/18/2019,52,PM2.5,Glendora,06-037-0016,AQS,8,48,3,35,52,42
10/19/2019,57,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,10,54,3,34,57,39
10/20/2019,93,Ozone,Glendora,06-037-0016,AQS,10,93,7,19,52,41
10/21/2019,71,Ozone,Pasadena,06-037-2005,AQS,13,71,1,32,49,64
10/22/2019,78,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,16,71,4,30,54,78
10/23/2019,80,Ozone,Reseda,06-037-1201,AQS,19,80,7,20,58,77
10/24/2019,96,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,23,54,11,55,65,96
10/25/2019,87,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,23,64,3,29,60,87
